SKU,LOC,FECHA,UNI
Art02,LOC_076,2019-05-19,2.0
Art02,LOC_076,2019-05-26,3.0
Art02,LOC_076,2019-06-02,5.0
Art02,LOC_076,2019-06-09,3.0
Art02,LOC_076,2019-06-16,9.0
Art02,LOC_076,2019-06-23,7.0
Art02,LOC_077,2019-04-07,6.0
Art02,LOC_077,2019-04-14,4.0
Art02,LOC_077,2019-04-21,2.0
Art02,LOC_077,2019-04-28,6.0
Art02,LOC_077,2019-05-05,6.0
Art02,LOC_077,2019-05-12,6.0
Art02,LOC_077,2019-05-19,4.0
Art02,LOC_077,2019-05-26,4.0
Art02,LOC_077,2019-06-02,8.0
Art02,LOC_077,2019-06-09,6.0
Art02,LOC_077,2019-06-16,2.0
Art02,LOC_077,2019-06-23,5.0
Art02,LOC_078,2019-04-07,7.0
Art02,LOC_078,2019-04-14,2.0
Art02,LOC_078,2019-04-21,2.0
Art02,LOC_078,2019-04-28,7.0
Art02,LOC_078,2019-05-05,4.0
Art02,LOC_078,2019-05-12,6.0
Art02,LOC_078,2019-05-19,4.0
Art02,LOC_078,2019-05-26,5.0
Art02,LOC_078,2019-06-02,3.0
Art02,LOC_078,2019-06-09,3.0
Art02,LOC_078,2019-06-16,3.0
Art02,LOC_078,2019-06-23,5.0
Art02,LOC_079,2019-04-07,3.0
Art02,LOC_079,2019-04-14,7.0
Art02,LOC_079,2019-04-21,4.0
Art02,LOC_079,2019-04-28,2.0
Art02,LOC_079,2019-05-05,2.0
Art02,LOC_079,2019-05-12,3.0
Art02,LOC_079,2019-05-19,7.0
Art02,LOC_079,2019-05-26,10.0
Art02,LOC_079,2019-06-02,15.0
Art02,LOC_079,2019-06-09,14.0
Art02,LOC_079,2019-06-16,9.0
Art02,LOC_079,2019-06-23,8.0
Art02,LOC_080,2019-04-07,4.0
Art02,LOC_080,2019-04-14,6.0
Art02,LOC_080,2019-04-21,4.0
Art02,LOC_080,2019-04-28,5.0
Art02,LOC_080,2019-05-05,5.0
Art02,LOC_080,2019-05-12,6.0
Art02,LOC_080,2019-05-19,3.0
Art02,LOC_080,2019-05-26,6.0
Art02,LOC_080,2019-06-02,4.0
Art02,LOC_080,2019-06-09,8.0
Art02,LOC_080,2019-06-16,4.0
Art02,LOC_080,2019-06-23,6.0
Art02,LOC_081,2019-04-07,13.0
Art02,LOC_081,2019-04-14,11.0
Art02,LOC_081,2019-04-21,21.0
Art02,LOC_081,2019-04-28,17.0
Art02,LOC_081,2019-05-05,21.0
Art02,LOC_081,2019-05-12,17.0
Art02,LOC_081,2019-05-19,8.0
Art02,LOC_081,2019-05-26,13.0
Art02,LOC_081,2019-06-02,16.0
Art02,LOC_081,2019-06-09,19.0
Art02,LOC_081,2019-06-16,12.0
Art02,LOC_081,2019-06-23,10.0
Art02,LOC_082,2019-04-07,4.0
Art02,LOC_082,2019-04-14,7.0
Art02,LOC_082,2019-04-21,3.0
Art02,LOC_082,2019-04-28,3.0
Art02,LOC_082,2019-05-05,5.0
Art02,LOC_082,2019-05-12,7.0
Art02,LOC_082,2019-05-19,2.0
Art02,LOC_082,2019-05-26,2.0
Art02,LOC_082,2019-06-02,4.0
Art02,LOC_082,2019-06-09,5.0
Art02,LOC_082,2019-06-16,7.0
Art02,LOC_082,2019-06-23,5.0
Art02,LOC_083,2019-04-07,15.0
Art02,LOC_083,2019-04-14,12.0
Art02,LOC_083,2019-04-21,12.0
Art02,LOC_083,2019-04-28,27.0
Art02,LOC_083,2019-05-05,15.0
Art02,LOC_083,2019-05-12,26.0
Art02,LOC_083,2019-05-19,29.0
Art02,LOC_083,2019-05-26,29.0
Art02,LOC_083,2019-06-02,30.0
Art02,LOC_083,2019-06-09,28.0
Art02,LOC_083,2019-06-16,28.0
Art02,LOC_083,2019-06-23,14.0
Art02,LOC_084,2019-04-07,16.0
Art02,LOC_084,2019-04-14,27.0
Art02,LOC_084,2019-04-21,9.0
